,ID,Gender,Car,Realty,Children,Salary,Income_Type,Education,Family_Status,House_Type,AGE,EXPERIENCE,Occupation_Type,Family_Size,Risk,ACCOUNT_DURATION
0,5008804,1,1,1,0,380250.0,2,1,0,2,32.1,12.5,12,2.0,0,16
1,5008805,1,1,1,0,380250.0,2,1,0,2,32.1,12.5,12,2.0,0,15
2,5008806,1,1,1,0,112500.0,2,2,0,0,58.1,3.1,17,2.0,0,30
3,5008808,0,0,1,0,270000.0,2,2,1,0,52.4,8.4,15,1.0,0,5
5,5008810,0,0,1,0,270000.0,2,2,1,0,52.4,8.4,15,1.0,0,27
6,5008811,0,0,1,0,270000.0,2,2,1,0,52.4,8.4,15,1.0,0,39
7,5008812,0,0,1,0,283500.0,0,1,1,0,61.6,0.0,12,1.0,0,17
10,5008815,1,1,1,0,270000.0,2,1,0,0,46.2,2.1,0,2.0,0,6
11,5112956,1,1,1,0,270000.0,2,1,0,0,46.2,2.1,0,2.0,0,43
12,5008819,1,1,1,0,135000.0,2,2,0,0,48.8,3.3,8,2.0,0,8
13,5008820,1,1,1,0,135000.0,2,2,0,0,48.8,3.3,8,2.0,0,9
16,5008823,1,1,1,0,135000.0,2,2,0,0,48.8,3.3,8,2.0,0,5
17,5008824,1,1,1,0,135000.0,2,2,0,0,48.8,3.3,8,2.0,0,4
18,5008825,0,1,0,0,130500.0,2,1,0,0,29.2,3.0,0,2.0,0,26
19,5008826,0,1,0,0,130500.0,2,1,0,0,29.2,3.0,0,2.0,0,30
20,5008830,0,0,1,0,157500.0,2,2,0,0,27.5,4.0,8,2.0,0,32
21,5008831,0,0,1,0,157500.0,2,2,0,0,27.5,4.0,8,2.0,0,20
22,5008832,0,0,1,0,157500.0,2,2,0,0,27.5,4.0,8,2.0,0,35
23,5008834,0,0,1,1,112500.0,2,2,1,0,30.0,4.5,12,2.0,0,45
24,5008835,0,0,1,1,112500.0,2,2,1,0,30.0,4.5,12,2.0,0,17
25,5008836,1,1,1,3,270000.0,2,2,0,0,34.9,3.2,8,5.0,0,17
27,5008838,1,0,1,1,380250.0,2,1,0,0,32.5,5.6,10,3.0,0,31
28,5008839,1,0,1,1,380250.0,2,1,0,0,32.5,5.6,10,3.0,0,14
29,5008840,1,0,1,1,380250.0,2,1,0,0,32.5,5.6,10,3.0,0,56
30,5008841,1,0,1,1,380250.0,2,1,0,0,32.5,5.6,10,3.0,0,5
31,5008842,1,0,1,1,380250.0,2,1,0,0,32.5,5.6,10,3.0,0,9
32,5008843,1,0,1,1,380250.0,2,1,0,0,32.5,5.6,10,3.0,0,30
33,5008844,1,1,1,0,112500.0,2,2,0,0,56.2,12.2,4,2.0,0,33
34,5008846,1,1,1,0,112500.0,2,2,0,0,56.2,12.2,4,2.0,0,12
37,5008850,1,1,1,0,112500.0,2,2,0,0,56.2,12.2,4,2.0,0,26
39,5008852,1,1,1,0,112500.0,2,2,0,0,56.2,12.2,4,2.0,0,1
40,5008853,1,1,1,0,112500.0,2,2,0,0,56.2,12.2,4,2.0,0,16
41,5008854,0,1,1,2,135000.0,2,2,0,0,43.2,8.8,8,4.0,0,2
42,5008855,0,1,1,2,135000.0,2,2,0,0,43.2,8.8,8,4.0,0,29
43,5008856,0,1,1,2,135000.0,2,2,0,0,43.2,8.8,8,4.0,0,4
44,5008857,0,1,1,2,135000.0,2,2,0,0,43.2,8.8,8,4.0,0,28
45,5008858,0,1,1,2,135000.0,2,2,0,0,43.2,8.8,8,4.0,0,11
46,5008859,0,1,1,2,135000.0,2,2,0,0,43.2,8.8,8,4.0,0,5
49,5008862,0,1,1,2,135000.0,2,2,0,0,43.2,8.8,8,4.0,0,3
